Timestamp (UTC),Relay State,T2 (F),T1 (F)
2026-08-06T08:15:00Z,1,103.82744,116.18744
2026-08-06T08:30:00Z,1,103.97,115.81244
2026-08-06T08:45:00Z,1,104.8035714,116.4151143
2026-08-06T09:00:00Z,1,106.2153846,117.4741077
2026-08-06T09:15:00Z,1,107.11964,118.36244
2026-08-06T09:30:00Z,1,107.2141571,118.8659429
2026-08-06T09:45:00Z,1,106.84964,118.59464
2026-08-06T10:00:00Z,1,106.85732,118.47452
2026-08-06T10:15:00Z,1,106.9088,118.7935571
2026-08-06T10:30:00Z,1,107.46524,118.96232
2026-08-06T10:45:00Z,1,107.61524,119.33
2026-08-06T11:00:00Z,1,107.6965571,119.5898
2026-08-06T11:15:00Z,1,106.99268,119.20232
2026-08-06T11:30:00Z,1,107.30696,119.12792
2026-08-06T11:45:00Z,1,107.5040857,119.2282571
2026-08-06T12:00:00Z,1,108.12488,119.54732
2026-08-06T12:15:00Z,1,108.46244,120.01964
2026-08-06T12:30:00Z,1,109.1104571,120.5377571
2026-08-06T12:45:00Z,1,109.37732,120.70256
2026-08-06T13:00:00Z,1,109.5422,121.36256
2026-08-06T13:15:00Z,1,109.2067571,121.4377571
2026-08-06T13:30:00Z,1,109.98488,121.37768
2026-08-06T13:45:00Z,1,110.05976,121.58732
2026-08-06T14:00:00Z,1,110.0827143,121.3887714
2026-08-06T14:15:00Z,1,110.32232,121.84304
2026-08-06T14:30:00Z,1,110.29244,121.99256
2026-08-06T14:45:00Z,1,109.9218714,121.7185571
2026-08-06T15:00:00Z,1,109.73744,121.45304
2026-08-06T15:15:00Z,1,110.73476,121.9172
2026-08-06T15:30:00Z,1,111.0230857,122.0478286
2026-08-06T15:45:00Z,1,110.74244,120.63512
2026-08-06T16:00:00Z,1,109.6628,119.81732
2026-08-06T16:15:00Z,1,108.7008286,119.5410714
2026-08-06T16:30:00Z,1,108.15512,118.79732
2026-08-06T16:45:00Z,1,107.74952,118.45256
2026-08-06T17:00:00Z,1,107.9047143,118.6898
2026-08-06T17:15:00Z,1,108.20732,118.91744
2026-08-06T17:30:00Z,1,108.67208,119.4122
2026-08-06T17:45:00Z,1,108.8782571,119.4848857
2026-08-06T18:00:00Z,1,109.1228,119.32256
2026-08-06T18:15:00Z,1,110.31524,120.2072
2026-08-06T18:30:00Z,1,111.2001286,120.8990429
2026-08-06T18:45:00Z,1,112.19768,121.68524
2026-08-06T19:00:00Z,1,112.27244,121.9628
2026-08-06T19:15:00Z,1,112.0839286,121.6699571
2026-08-06T19:30:00Z,1,112.0028,121.43744
2026-08-06T19:45:00Z,1,112.59488,121.65524
2026-08-06T20:00:00Z,1,112.0517857,117.0257
2026-08-06T20:15:00Z,1,108.23744,111.98756
2026-08-06T20:30:00Z,1,105.215,108.07256
2026-08-06T20:45:00Z,1,102.98756,105.02744
2026-08-06T21:00:00Z,1,101.1795286,102.6740429
2026-08-06T21:15:00Z,1,99.46244,100.68476
2026-08-06T21:30:00Z,1,99.70232,107.39744
2026-08-06T21:45:00Z,1,103.6947714,111.5697714
2026-08-06T22:00:00Z,1,105.27524,111.58988
2026-08-06T22:15:00Z,1,105.56756,111.74744
2026-08-06T22:30:00Z,1,105.5990429,113.7472571
2026-08-06T22:45:00Z,1,106.58012,115.09268
2026-08-06T23:00:00Z,1,107.87,116.39744
2026-08-06T23:15:00Z,1,108.9177286,116.4795286
2026-08-06T23:30:00Z,1,109.37024,117.04976
2026-08-06T23:45:00Z,1,110.1878,118.07
2026-08-07T00:00:00Z,1,111.0229571,118.0869286
2026-08-07T00:15:00Z,1,110.77244,118.18268
2026-08-07T00:30:00Z,1,110.11268,117.10244
2026-08-07T00:45:00Z,1,108.8696429,117.0982143
2026-08-07T01:00:00Z,1,108.935,117.755
2026-08-07T01:15:00Z,1,109.40792,118.35488
2026-08-07T01:30:00Z,1,110.1872429,118.5207286
2026-08-07T01:45:00Z,1,110.27768,118.655
2026-08-07T02:00:00Z,1,110.42732,119.25524
